((('129', '240'), ('17',)), 0.6521739130434783)
((('240', '17'), ('129',)), 0.5172413793103449)
((('201', '22'), ('12',)), 0.8235294117647058)
((('129', '23'), ('13',)), 0.8333333333333334)
((('129', '22'), ('24',)), 0.5)
((('294', '201'), ('17',)), 0.6666666666666666)
((('108', '23'), ('11',)), 0.75)
((('108', '11'), ('23',)), 0.5769230769230769)
((('19', '395'), ('24',)), 0.5365853658536586)
((('395', '24'), ('19',)), 0.7096774193548387)
((('22', '438'), ('12',)), 0.75)
((('12', '438'), ('22',)), 0.5172413793103449)
((('22', '43'), ('12',)), 0.7894736842105263)
((('492', '423'), ('215',)), 0.6153846153846154)
((('492', '215'), ('423',)), 0.8)
((('423', '215'), ('492',)), 0.5)
((('144', '24'), ('13',)), 0.6818181818181818)
((('129', '438'), ('11',)), 0.5666666666666667)
((('438', '11'), ('129',)), 0.68)
((('159', '73'), ('11',)), 0.5555555555555556)
((('159', '11'), ('73',)), 0.6)
((('234', '270'), ('271',)), 0.9090909090909091)
((('234', '271'), ('270',)), 0.8)
((('17', '458'), ('440',)), 0.7142857142857143)
((('129', '668'), ('198',)), 0.625)
((('9', '13'), ('11',)), 0.5294117647058824)
((('9', '11'), ('13',)), 0.6428571428571429)
((('19', '212'), ('73',)), 0.5)
((('73', '212'), ('19',)), 0.9411764705882353)
((('337', '13'), ('11',)), 0.5806451612903226)
((('23', '209'), ('129',)), 0.5555555555555556)
((('35', '17'), ('11',)), 0.7419354838709677)
((('35', '11'), ('17',)), 0.5227272727272727)
((('129', '73'), ('24',)), 0.5897435897435898)
((('337', '12'), ('11',)), 0.6857142857142857)
((('337', '11'), ('12',)), 0.5714285714285714)
((('108', '17'), ('11',)), 0.8846153846153846)
((('108', '11'), ('17',)), 0.8846153846153846)
((('23', '43'), ('24',)), 0.5483870967741935)
((('337', '17'), ('11',)), 0.6896551724137931)
((('23', '137'), ('24',)), 0.7894736842105263)
((('137', '24'), ('23',)), 0.5357142857142857)
((('35', '13'), ('11',)), 0.5172413793103449)
((('284', '144'), ('11',)), 0.8888888888888888)
((('23', '43'), ('19',)), 0.5161290322580645)
((('19', '22'), ('11',)), 0.6271186440677966)
((('22', '11'), ('19',)), 0.6271186440677966)
((('201', '159'), ('11',)), 0.7142857142857143)
((('159', '11'), ('201',)), 0.6)
((('444', '13'), ('440',)), 0.64)
((('161', '440'), ('423',)), 0.5675675675675675)
((('73', '209'), ('11',)), 0.6818181818181818)
((('201', '443'), ('13',)), 0.7142857142857143)
((('294', '19'), ('17',)), 0.6153846153846154)
((('337', '43'), ('13',)), 0.68)
((('337', '13'), ('43',)), 0.5483870967741935)
((('43', '24'), ('17',)), 0.8235294117647058)
